{2,3,4,5, iterations, NumberOfDuplicates(for n=5)}
14,104,266,0,10000,723
14,104,280,0,10000,771
14,104,286,0,10000,729
14,104,254,0,10000,685
14,104,289,0,10000,703
14,104,282,0,0000,709
14,104,267,0,10000,713
14,104,273,0,10000,765
14,104,296,0,10000,764
14,104,289,0,10000,712
14,104,262,0,0000,740
14,104,267,0,10000,730
14,104,300,0,10000,727
14,104,268,0,0000,698
14,104,274,0,10000,699
14,104,287,0,0000,736
14,104,254,0,10000,743
14,104,299,0,10000,713
14,104,266,0,10000,772
14,104,279,0,10000,698
14,104,277,0,10000,744
14,104,269,0,10000,732
14,104,262,0,10000,729
14,104,257,0,10000,723
14,104,267,0,10000,733
14,104,259,0,10000,679
14,104,1882,0,1000000,934464
14,104,1882,0,1000000,934464
14,104,1882,0,000000,934464
14,104,1882,0,1000000,934464
